V1	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
285	CRP1	226.479012972143	8	Non-Hub-Non-Bottleneck	NHNB	4
286	CSE1	825.805196953704	14	Non-Hub-Non-Bottleneck	NHNB	4
287	CSE2	487.688738056408	29	Hub-Non-Bottleneck	HNB	14
288	CSE4	2583.56089708966	45	Hub-Bottleneck	HB	4
289	CSG2	1446.80092384324	15	Non-Hub-Non-Bottleneck	NHNB	4
290	CSM3	236.491512332127	23	Non-Hub-Non-Bottleneck	NHNB	14
291	CTA1	4628.02689044575	33	Hub-Bottleneck	HB	2
292	CTF13	805.106695244547	29	Hub-Non-Bottleneck	HNB	7
293	CTF18	277.965792049122	12	Non-Hub-Non-Bottleneck	NHNB	14
294	CTF19	236.918484531536	22	Non-Hub-Non-Bottleneck	NHNB	7
295	CTF3	76.2913865541981	20	Non-Hub-Non-Bottleneck	NHNB	7
296	CTF8	15.4167009453438	4	Non-Hub-Non-Bottleneck	NHNB	14
297	CTK1	2938.75468221355	51	Hub-Bottleneck	HB	14
298	CTR9	1251.89899407719	20	Non-Hub-Non-Bottleneck	NHNB	4
299	CTT1	968.866319366976	16	Non-Hub-Non-Bottleneck	NHNB	24
300	CUE1	902.150062132564	18	Non-Hub-Non-Bottleneck	NHNB	4
301	CUE5	1531.5952565209	16	Non-Hub-Non-Bottleneck	NHNB	4
302	CUL3	132.824466776983	8	Non-Hub-Non-Bottleneck	NHNB	4
303	CWC2	7830.37507433392	43	Hub-Bottleneck	HB	8
304	CWH41	1843.48695563195	24	Non-Hub-Bottleneck	NHB	6
305	CWH43	427.637811717493	8	Non-Hub-Non-Bottleneck	NHNB	6
306	CYB2	10029.2293592196	69	Hub-Bottleneck	HB	3
307	CYB5	1105.66374559202	9	Non-Hub-Non-Bottleneck	NHNB	4
308	CYC1	3523.24579915005	27	Hub-Bottleneck	HB	23
309	CYC7	1149.24746039674	21	Non-Hub-Non-Bottleneck	NHNB	23
310	CYM1	1420.30507470122	19	Non-Hub-Non-Bottleneck	NHNB	2
311	CYR1	3295.97199939443	47	Hub-Bottleneck	HB	4
312	CYS3	2855.38851720304	26	Non-Hub-Bottleneck	NHB	18
313	CYS4	4572.25069384639	30	Hub-Bottleneck	HB	18
314	CYT1	6741.90532187983	65	Hub-Bottleneck	HB	3
315	DAL3	176.598842121039	8	Non-Hub-Non-Bottleneck	NHNB	9
316	DAL7	1750.4920216015	27	Hub-Bottleneck	HB	9
317	DAP1	2714.05990549378	31	Hub-Bottleneck	HB	6
318	DBP5	2185.12203249113	52	Hub-Bottleneck	HB	11
319	DCK1	366.071794423794	14	Non-Hub-Non-Bottleneck	NHNB	2
320	DCP1	2688.7253875145	33	Hub-Bottleneck	HB	8
321	DCP2	1567.43962468441	27	Hub-Non-Bottleneck	HNB	8
322	DDL1	873.799218493706	12	Non-Hub-Non-Bottleneck	NHNB	6
323	DDP1	1679.47482817653	39	Hub-Bottleneck	HB	11
324	DED81	446.845242133748	11	Non-Hub-Non-Bottleneck	NHNB	2
325	DER1	978.882670428533	21	Non-Hub-Non-Bottleneck	NHNB	4
326	DFG16	77.8960832639563	3	Non-Hub-Non-Bottleneck	NHNB	4
327	DFG5	144.705234665992	9	Non-Hub-Non-Bottleneck	NHNB	6
328	DGA1	312.041158349451	12	Non-Hub-Non-Bottleneck	NHNB	1
329	DGK1	1828.76063399391	21	Non-Hub-Bottleneck	NHB	1
330	DHH1	6794.57035184592	49	Hub-Bottleneck	HB	8
331	DID4	165.410228458402	9	Non-Hub-Non-Bottleneck	NHNB	4
332	DIM1	1048.11184531698	38	Hub-Non-Bottleneck	HNB	11
333	DIT2	78.7507121442089	5	Non-Hub-Non-Bottleneck	NHNB	9
334	DLD1	6343.90291259872	45	Hub-Bottleneck	HB	3
335	DLD2	185.95286989817	13	Non-Hub-Non-Bottleneck	NHNB	20
336	DLD3	837.571901056509	17	Non-Hub-Non-Bottleneck	NHNB	20
337	DNF1	232.526349482915	7	Non-Hub-Non-Bottleneck	NHNB	4
338	DNM1	7995.43154673367	38	Hub-Bottleneck	HB	4
339	DOA4	4671.29714100843	33	Hub-Bottleneck	HB	4
340	DOC1	1965.26221676607	31	Hub-Bottleneck	HB	4
341	DOM34	685.410403430765	36	Hub-Non-Bottleneck	HNB	11
342	DPB4	366.27503400277	20	Non-Hub-Non-Bottleneck	NHNB	14
343	DPL1	849.802771432345	14	Non-Hub-Non-Bottleneck	NHNB	27
344	DPP1	1047.51550666537	22	Non-Hub-Non-Bottleneck	NHNB	1
345	DPS1	318.193871627234	15	Non-Hub-Non-Bottleneck	NHNB	2
346	DRE2	2442.35946760147	24	Non-Hub-Bottleneck	NHB	2
