Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YER164W	CHD1	0.74	0.04	0.71	0.05	0.0003	0.0002	0.0002	0.0003	0.0002
YER165W	PAB1	0.71	0.04	0.64	0.05	0.0003	0.0002	0.0002	0.0003	0.0002
YER166W	DNF1	0.99	0.07	1.11	0.06	0.0084	0.7051	0.1198	0.0120	0.0036
YER167W	BCK2	0.49	0.08	1.14	0.07	0.0008	0.0007	0.0004	0.0110	0.0033
YER168C	CCA1	0.73	0.07	0.67	0.04	0.0002	0.0021	0.0008	0.0001	0.0001
YER169W	RPH1	0.74	0.12	0.74	0.09	0.0022	0.0100	0.0030	0.0039	0.0014
YER171W	RAD3	0.78	0.43	0.70	0.25	0.0140	0.1775	0.0357	0.0471	0.0112
YER172C	BRR2	0.65	0.04	0.65	0.07	0.0000	0.0001	0.0001	0.0012	0.0005
YER174C	GRX4	1.07	0.06	1.69	0.13	0.0000	0.0648	0.0148	0.0001	0.0001
YER175C	TMT1	2.28	0.83	4.58	1.20	0.0003	0.0083	0.0026	0.0003	0.0002
YER176W	ECM32	0.49	0.06	0.43	0.09	0.0002	0.0002	0.0001	0.0010	0.0005
YER177W	BMH1	1.26	0.05	1.23	0.13	0.0005	0.0003	0.0002	0.0125	0.0037
YER178W	PDA1	1.18	0.12	1.32	0.08	0.0010	0.0201	0.0054	0.0006	0.0003
YER180C-A	SLO1	1.01	0.31	1.66	0.18	0.0001	0.8627	0.1421	0.0006	0.0003
YER182W	FMP10	2.04	0.35	3.80	0.46	0.0000	0.0007	0.0004	0.0000	0.0000
YER183C	FAU1	0.58	0.15	0.51	0.20	0.0082	0.0077	0.0025	0.0092	0.0028
YER186C	YER186C	1.29	0.37	1.47	0.49	0.1460	0.1953	0.0389	0.0915	0.0200
YFL002C	SPB4	0.36	0.03	0.36	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YFL004W	VTC2	0.92	0.07	0.85	0.06	0.0120	0.0823	0.0182	0.0070	0.0023
YFL005W	SEC4	1.18	0.11	1.34	0.09	0.0003	0.0209	0.0056	0.0006	0.0003
YFL007W	BLM10	0.72	0.13	0.49	0.04	0.0000	0.0099	0.0030	0.0000	0.0001
YFL008W	SMC1	0.86	0.07	0.91	0.06	0.0033	0.0123	0.0036	0.0276	0.0071
YFL010C	WWM1	1.16	0.10	1.02	0.14	0.0348	0.0202	0.0055	0.8490	0.1402
YFL013C	IES1	0.84	0.08	1.19	0.19	0.0006	0.0145	0.0041	0.0975	0.0211
YFL014W	HSP12	2.08	0.33	4.55	0.60	0.0000	0.0005	0.0003	0.0000	0.0000
YFL016C	MDJ1	1.36	0.11	1.76	0.12	0.0001	0.0009	0.0005	0.0001	0.0001
YFL017C	GNA1	1.13	0.10	1.50	0.14	0.0008	0.0395	0.0097	0.0005	0.0003
YFL017W-A	SMX2	0.87	0.11	1.25	0.04	0.0002	0.0664	0.0151	0.0001	0.0001
YFL018C	LPD1	1.50	0.13	2.49	0.20	0.0000	0.0004	0.0003	0.0000	0.0000
YFL021W	GAT1	6.02	3.44	10.75	5.24	0.0001	0.0017	0.0007	0.0002	0.0002
YFL022C	FRS2	0.95	0.08	0.83	0.03	0.0005	0.2148	0.0422	0.0005	0.0003
YFL023W	BUD27	0.53	0.21	0.51	0.12	0.0048	0.0180	0.0050	0.0030	0.0011
YFL024C	EPL1	0.60	0.05	0.86	0.07	0.0004	0.0002	0.0002	0.0107	0.0032
YFL028C	CAF16	0.97	0.16	1.23	0.16	0.0120	0.5844	0.1017	0.0328	0.0083
YFL029C	CAK1	1.14	0.10	1.37	0.11	0.0015	0.0416	0.0101	0.0009	0.0004
YFL030W	AGX1	1.14	0.10	19.18	0.84	0.0000	0.0314	0.0080	0.0000	0.0000
YFL033C	RIM15	1.23	0.18	1.44	0.20	0.0078	0.0396	0.0097	0.0049	0.0017
YFL034C-A	RPL22B	0.64	0.07	0.50	0.07	0.0007	0.0009	0.0004	0.0004	0.0003
YFL034W	YFL034W	1.00	0.18	1.06	0.22	0.7856	0.8783	0.1443	0.7653	0.1284
YFL036W	RPO41	1.75	0.06	1.72	0.12	0.0000	0.0000	0.0000	0.0001	0.0001
YFL037W	TUB2	1.08	0.11	1.18	0.06	0.0023	0.2111	0.0416	0.0022	0.0009
YFL038C	YPT1	0.90	0.10	0.92	0.08	0.0685	0.0859	0.0189	0.0850	0.0188
YFL039C	ACT1	1.21	0.11	1.17	0.07	0.0017	0.0078	0.0025	0.0036	0.0013
YFL041W	FET5	0.86	0.05	1.08	0.05	0.0070	0.0069	0.0022	0.0186	0.0051
YFL042C	YFL042C	1.78	0.04	2.27	0.20	0.0000	0.0000	0.0000	0.0000	0.0000
YFL044C	OTU1	1.16	0.08	1.61	0.20	0.0018	0.0079	0.0025	0.0011	0.0005
YFL045C	SEC53	0.84	0.06	0.76	0.06	0.0010	0.0052	0.0018	0.0011	0.0005
YFL047W	RGD2	0.94	0.10	0.80	0.12	0.0112	0.2243	0.0438	0.0229	0.0061
YFL048C	EMP47	1.00	0.13	1.02	0.09	0.8616	0.9702	0.1569	0.6541	0.1122
YFL049W	SWP82	5.02	0.40	5.74	0.58	0.0000	0.0000	0.0000	0.0000	0.0000
YFL054C	YFL054C	5.13	1.14	4.56	1.45	0.0000	0.0001	0.0001	0.0004	0.0002
YFL059W	SNZ3	5.87	0.38	7.00	0.42	0.0000	0.0000	0.0000	0.0000	0.0000
YFL060C	SNO3	4.85	0.34	5.53	0.49	0.0000	0.0000	0.0000	0.0000	0.0000
YFR001W	LOC1	0.47	0.02	0.45	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YFR002W	NIC96	0.75	0.01	0.82	0.03	0.0000	0.0000	0.0000	0.0004	0.0002
YFR003C	YPI1	1.63	1.18	1.04	0.10	0.1170	0.2623	0.0504	0.4437	0.0799
YFR004W	RPN11	1.02	0.02	1.03	0.10	0.1268	0.0740	0.0166	0.5823	0.1014
YFR006W	YFR006W	1.12	0.09	1.08	0.07	0.0466	0.0392	0.0096	0.0401	0.0098
YFR007W	YFH7	1.37	0.12	1.83	0.13	0.0001	0.0011	0.0005	0.0000	0.0001
YFR009W	GCN20	0.96	0.03	0.80	0.05	0.0014	0.0667	0.0152	0.0016	0.0007
YFR010W	UBP6	1.03	0.07	1.08	0.11	0.2502	0.3885	0.0712	0.1553	0.0318
YFR011C	AIM13	1.59	0.27	3.19	0.55	0.0000	0.0039	0.0014	0.0001	0.0001
YFR013W	IOC3	0.97	0.14	1.11	0.25	0.2488	0.6330	0.1089	0.4464	0.0803
YFR014C	CMK1	1.92	0.14	3.50	0.36	0.0000	0.0000	0.0000	0.0000	0.0000
YFR015C	GSY1	8.21	1.32	7.73	1.28	0.0000	0.0000	0.0000	0.0000	0.0000
YFR016C	YFR016C	1.78	0.19	1.81	0.18	0.0003	0.0002	0.0002	0.0002	0.0002
YFR017C	IGD1	4.07	0.45	9.64	0.37	0.0000	0.0000	0.0000	0.0000	0.0000
YFR019W	FAB1	1.01	0.07	1.31	0.28	0.0187	0.8233	0.1367	0.0641	0.0147
YFR021W	ATG18	1.23	0.23	1.52	0.25	0.0100	0.0744	0.0167	0.0063	0.0021
YFR024C-A	LSB3	1.32	0.14	1.30	0.17	0.0065	0.0046	0.0016	0.0117	0.0035
YFR025C	HIS2	1.07	0.09	0.96	0.09	0.1258	0.1734	0.0350	0.3692	0.0681
YFR028C	CDC14	0.63	0.05	0.63	0.06	0.0003	0.0002	0.0001	0.0004	0.0003
YFR030W	MET10	0.61	0.20	0.52	0.20	0.0157	0.0182	0.0050	0.0129	0.0038
YFR031C	SMC2	0.73	0.14	0.90	0.21	0.0280	0.0167	0.0047	0.2780	0.0530
YFR031C-A	RPL2A	0.67	0.06	0.58	0.03	0.0000	0.0006	0.0003	0.0000	0.0000
YFR032C-A	RPL29	0.42	0.18	0.46	0.20	0.0020	0.0076	0.0024	0.0112	0.0034
YFR033C	QCR6	2.73	0.68	9.72	1.61	0.0000	0.0010	0.0005	0.0000	0.0000
YFR034C	PHO4	0.54	0.06	0.77	0.12	0.0003	0.0003	0.0002	0.0164	0.0046
YFR037C	RSC8	0.84	0.03	0.85	0.08	0.0002	0.0006	0.0003	0.0123	0.0036
YFR038W	IRC5	0.57	0.07	0.54	0.07	0.0004	0.0004	0.0002	0.0003	0.0002
YFR039C	YFR039C	1.19	0.10	0.81	0.11	0.0013	0.0096	0.0030	0.0198	0.0054
YFR040W	SAP155	1.09	0.09	1.77	0.22	0.0004	0.0932	0.0203	0.0005	0.0003
YFR041C	ERJ5	1.07	0.14	0.86	0.06	0.0085	0.2904	0.0550	0.0090	0.0028
YFR043C	IRC6	0.84	0.01	0.87	0.04	0.0000	0.0000	0.0000	0.0027	0.0011
YFR044C	DUG1	1.47	0.10	1.57	0.11	0.0003	0.0003	0.0002	0.0002	0.0001
YFR045W	YFR045W	4.15	2.38	6.34	3.10	0.0032	0.0062	0.0021	0.0022	0.0009
YFR046C	CNN1	0.59	0.22	0.84	0.25	0.0112	0.0185	0.0051	0.1658	0.0336
YFR047C	BNA6	2.21	0.31	2.56	0.27	0.0000	0.0002	0.0002	0.0000	0.0001
YFR049W	YMR31	1.87	0.32	5.33	0.38	0.0000	0.0011	0.0005	0.0000	0.0000
YFR050C	PRE4	1.05	0.07	1.18	0.05	0.0001	0.2167	0.0426	0.0008	0.0004
YFR051C	RET2	0.98	0.08	0.97	0.07	0.6157	0.5575	0.0976	0.4124	0.0750
YFR052W	RPN12	0.92	0.08	0.96	0.10	0.1413	0.1130	0.0240	0.3946	0.0722
YFR053C	HXK1	7.24	0.33	6.93	0.31	0.0000	0.0000	0.0000	0.0000	0.0000
YGL001C	ERG26	1.44	0.08	1.32	0.07	0.0001	0.0002	0.0001	0.0003	0.0002
YGL004C	RPN14	1.34	0.38	1.79	0.40	0.0048	0.1638	0.0333	0.0052	0.0018
YGL005C	COG7	0.85	0.07	0.92	0.10	0.0093	0.0092	0.0029	0.1468	0.0302
YGL006W	PMC1	3.47	0.09	4.71	0.50	0.0000	0.0000	0.0000	0.0000	0.0000
YGL008C	PMA1	0.84	0.06	0.56	0.06	0.0002	0.0044	0.0015	0.0003	0.0002
YGL009C	LEU1	0.75	0.08	0.46	0.04	0.0001	0.0030	0.0011	0.0000	0.0001
YGL011C	SCL1	0.96	0.06	0.95	0.02	0.0142	0.1756	0.0354	0.0110	0.0033
YGL012W	ERG4	0.76	0.04	0.75	0.03	0.0000	0.0002	0.0002	0.0001	0.0001
YGL013C	PDR1	0.69	0.09	0.71	0.07	0.0007	0.0031	0.0012	0.0013	0.0006
YGL014W	PUF4	0.79	0.11	0.77	0.12	0.0215	0.0181	0.0050	0.0138	0.0040
YGL016W	KAP122	0.65	0.06	0.58	0.03	0.0000	0.0005	0.0003	0.0000	0.0000
YGL017W	ATE1	0.86	0.09	0.88	0.10	0.0262	0.0321	0.0081	0.0465	0.0111
YGL018C	JAC1	1.40	0.11	1.93	0.13	0.0000	0.0007	0.0004	0.0000	0.0000
YGL019W	CKB1	1.04	0.11	0.85	0.10	0.0491	0.4959	0.0882	0.0315	0.0080
YGL020C	GET1	1.08	0.08	0.97	0.11	0.0525	0.0869	0.0191	0.5413	0.0952
YGL022W	STT3	0.86	0.10	0.82	0.10	0.0327	0.0451	0.0108	0.0191	0.0052
YGL023C	PIB2	0.91	0.16	1.51	0.30	0.0021	0.2989	0.0565	0.0091	0.0028
YGL025C	PGD1	0.53	0.08	0.61	0.10	0.0017	0.0010	0.0005	0.0029	0.0011
YGL026C	TRP5	1.16	0.09	1.07	0.07	0.0164	0.0108	0.0033	0.0743	0.0167
YGL027C	CWH41	0.96	0.05	0.93	0.05	0.0591	0.1165	0.0247	0.0343	0.0086
YGL028C	SCW11	0.85	0.02	0.72	0.12	0.0002	0.0002	0.0001	0.0107	0.0032
YGL030W	RPL30	0.71	0.07	0.58	0.04	0.0001	0.0020	0.0008	0.0001	0.0001
YGL031C	RPL24A	0.51	0.05	0.40	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YGL035C	MIG1	0.93	0.05	1.10	0.12	0.0172	0.0359	0.0089	0.1305	0.0273
YGL036W	YGL036W	0.70	0.06	0.82	0.08	0.0005	0.0009	0.0005	0.0099	0.0030
YGL037C	PNC1	5.18	0.29	5.60	0.25	0.0000	0.0000	0.0000	0.0000	0.0000
YGL038C	OCH1	1.17	0.17	1.07	0.14	0.1601	0.0937	0.0204	0.3697	0.0682
YGL039W	YGL039W	0.62	0.11	0.39	0.03	0.0000	0.0028	0.0011	0.0000	0.0000
YGL040C	HEM2	1.08	0.08	1.51	0.09	0.0001	0.0790	0.0176	0.0001	0.0001
YGL041W-A	YGL041W-A	1.43	0.29	2.21	0.33	0.0003	0.0185	0.0051	0.0003	0.0002
YGL043W	DST1	0.74	0.07	0.71	0.07	0.0018	0.0020	0.0008	0.0014	0.0006
YGL044C	RNA15	0.54	0.08	0.47	0.08	0.0007	0.0006	0.0003	0.0004	0.0002
YGL047W	ALG13	0.92	0.05	0.92	0.06	0.0243	0.0283	0.0073	0.0318	0.0081
YGL048C	RPT6	0.83	0.06	0.85	0.07	0.0056	0.0035	0.0013	0.0141	0.0041
YGL049C	TIF4632	1.02	0.05	0.93	0.06	0.1096	0.4622	0.0828	0.0772	0.0172
YGL050W	TYW3	0.68	0.05	0.69	0.07	0.0004	0.0003	0.0002	0.0014	0.0006
YGL053W	PRM8	3.08	0.34	2.93	0.26	0.0000	0.0000	0.0000	0.0000	0.0000
YGL054C	ERV14	0.97	0.06	1.09	0.05	0.0129	0.3396	0.0633	0.0174	0.0048
YGL055W	OLE1	0.22	0.04	0.28	0.01	0.0000	0.0000	0.0001	0.0000	0.0000
YGL056C	SDS23	0.76	0.09	1.90	0.13	0.0000	0.0056	0.0019	0.0000	0.0000
YGL058W	RAD6	0.92	0.05	0.99	0.07	0.0037	0.0212	0.0057	0.6317	0.1088
YGL060W	YBP2	0.82	0.03	0.83	0.08	0.0007	0.0004	0.0003	0.0114	0.0034
YGL061C	DUO1	0.64	0.22	1.06	0.50	0.0025	0.0614	0.0141	0.8275	0.1372
YGL062W	PYC1	0.80	0.02	2.94	0.20	0.0000	0.0001	0.0001	0.0000	0.0000
YGL064C	MRH4	0.98	0.13	1.51	0.19	0.0024	0.7163	0.1214	0.0024	0.0009
YGL065C	ALG2	0.96	0.05	1.07	0.09	0.0517	0.2050	0.0406	0.1625	0.0331
YGL067W	NPY1	0.90	0.06	0.92	0.06	0.0038	0.0160	0.0045	0.0439	0.0106
YGL068W	MNP1	1.63	0.23	2.60	0.34	0.0000	0.0017	0.0007	0.0001	0.0001
YGL070C	RPB9	0.80	0.11	0.88	0.05	0.0054	0.0182	0.0050	0.0056	0.0019
YGL073W	HSF1	0.72	0.14	0.99	0.10	0.0085	0.0140	0.0040	0.7460	0.1256
YGL076C	RPL7A	0.70	0.12	0.58	0.08	0.0002	0.0074	0.0024	0.0007	0.0004
YGL077C	HNM1	0.24	0.04	0.22	0.02	0.0000	0.0000	0.0001	0.0000	0.0000
YGL078C	DBP3	0.47	0.04	0.40	0.02	0.0000	0.0000	0.0001	0.0000	0.0000
YGL082W	YGL082W	1.24	0.07	1.32	0.16	0.0021	0.0012	0.0006	0.0063	0.0021
YGL083W	SCY1	0.79	0.11	0.68	0.07	0.0019	0.0147	0.0042	0.0012	0.0006
YGL084C	GUP1	1.10	0.12	1.26	0.20	0.0638	0.1327	0.0276	0.0389	0.0096
YGL086W	MAD1	0.84	0.06	1.00	0.09	0.0093	0.0054	0.0018	0.9133	0.1491
YGL087C	MMS2	1.55	0.22	1.90	0.21	0.0003	0.0027	0.0010	0.0002	0.0002
YGL091C	NBP35	0.62	0.03	0.38	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YGL092W	NUP145	0.74	0.02	0.83	0.08	0.0000	0.0000	0.0000	0.0112	0.0034
YGL094C	PAN2	1.06	0.09	1.36	0.13	0.0007	0.2374	0.0461	0.0026	0.0010
YGL095C	VPS45	1.22	0.07	1.37	0.07	0.0001	0.0014	0.0006	0.0002	0.0001
YGL097W	SRM1	0.86	0.21	1.09	0.42	0.2007	0.1899	0.0379	0.9085	0.1485
YGL098W	USE1	0.76	0.06	0.97	0.10	0.0017	0.0013	0.0006	0.5145	0.0910
YGL099W	LSG1	0.56	0.02	0.52	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YGL100W	SEH1	0.73	0.09	0.73	0.07	0.0018	0.0038	0.0014	0.0015	0.0007
YGL101W	YGL101W	0.64	0.05	0.47	0.09	0.0002	0.0003	0.0002	0.0009	0.0004
YGL103W	RPL28	0.68	0.06	0.57	0.05	0.0003	0.0008	0.0004	0.0002	0.0002
YGL105W	ARC1	0.86	0.05	0.84	0.07	0.0062	0.0061	0.0020	0.0074	0.0024
YGL106W	MLC1	1.10	0.06	1.16	0.07	0.0050	0.0209	0.0056	0.0050	0.0017
YGL107C	RMD9	1.30	0.21	1.86	0.27	0.0004	0.0255	0.0067	0.0007	0.0004
YGL110C	CUE3	1.03	0.07	0.84	0.11	0.0043	0.4026	0.0735	0.0396	0.0097
YGL111W	NSA1	0.55	0.03	0.63	0.05	0.0000	0.0000	0.0000	0.0002	0.0001
YGL112C	TAF6	0.72	0.04	0.76	0.03	0.0000	0.0002	0.0001	0.0001	0.0001
YGL115W	SNF4	1.03	0.07	1.19	0.11	0.0009	0.4038	0.0737	0.0194	0.0053
YGL119W	COQ8	0.83	0.15	0.97	0.21	0.0018	0.0795	0.0177	0.6648	0.1138
YGL120C	PRP43	0.56	0.04	0.46	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YGL122C	NAB2	0.83	0.06	0.89	0.13	0.0068	0.0043	0.0015	0.0987	0.0213
YGL123W	RPS2	0.68	0.05	0.59	0.03	0.0000	0.0003	0.0002	0.0000	0.0000
YGL124C	MON1	0.38	0.24	1.62	0.630.2630	0.0505	0.1973	0.0392
YGL125W	MET13	1.00	0.03	1.15	0.07	0.0095	0.8008	0.1335	0.0080	0.0025
YGL126W	SCS3	1.06	0.18	0.96	0.15	0.2092	0.6061	0.1049	0.5188	0.0917
YGL129C	RSM23	1.18	0.04	1.75	0.16	0.0001	0.0004	0.0003	0.0002	0.0001
YGL130W	CEG1	0.85	0.09	1.05	0.06	0.0218	0.0213	0.0057	0.1453	0.0299
YGL133W	ITC1	0.98	0.14	1.05	0.18	0.6785	0.6881	0.1173	0.6630	0.1135
YGL135W	RPL1B	0.66	0.04	0.51	0.04	0.0000	0.0001	0.0001	0.0000	0.0000
YGL137W	SEC27	1.12	0.08	0.97	0.08	0.0242	0.0194	0.0053	0.4334	0.0783
YGL140C	YGL140C	0.69	0.10	0.52	0.06	0.0003	0.0050	0.0017	0.0002	0.0002
YGL141W	HUL5	1.04	0.10	0.84	0.06	0.0000	0.4358	0.0787	0.0065	0.0021
YGL143C	MRF1	7.04	1.57	5.52	2.55	0.0001	0.0000	0.0001	0.0011	0.0005
YGL145W	TIP20	0.88	0.17	1.07	0.06	0.0061	0.1411	0.0292	0.0570	0.0132
YGL147C	RPL9A	0.62	0.04	0.49	0.02	0.0000	0.0000	0.0001	0.0000	0.0000
YGL148W	ARO2	0.66	0.05	0.56	0.02	0.0000	0.0003	0.0002	0.0000	0.0000
YGL150C	INO80	0.84	0.05	0.82	0.09	0.0015	0.0024	0.0010	0.0139	0.0040
YGL151W	NUT1	0.86	0.07	0.84	0.05	0.0032	0.0112	0.0033	0.0025	0.0010
YGL153W	PEX14	1.11	0.09	1.46	0.13	0.0011	0.0491	0.0116	0.0006	0.0003
YGL155W	CDC43	0.98	0.24	1.24	0.22	0.0269	0.6842	0.1166	0.0673	0.0153
YGL156W	AMS1	2.55	0.16	4.57	0.58	0.0000	0.0000	0.0000	0.0000	0.0000
YGL157W	ARI1	1.20	0.07	0.80	0.04	0.0001	0.0021	0.0009	0.0007	0.0004
YGL159W	YGL159W	0.86	0.06	1.03	0.13	0.0000	0.0078	0.0025	0.6434	0.1105
YGL161C	YIP5	1.11	0.09	1.32	0.08	0.0000	0.0451	0.0108	0.0006	0.0003
YGL163C	RAD54	0.64	0.09	0.94	0.31	0.0029	0.0020	0.0008	0.5154	0.0912
YGL164C	YRB30	0.95	0.09	1.15	0.14	0.0028	0.2854	0.0543	0.0624	0.0143
YGL166W	CUP2	1.34	0.70	0.58	0.37	0.0035	0.4320	0.0781	0.0722	0.0163
YGL167C	PMR1	1.06	0.07	1.18	0.10	0.0127	0.1581	0.0323	0.0125	0.0037
YGL169W	SUA5	0.64	0.14	0.93	0.02	0.0024	0.0116	0.0034	0.0016	0.0007
YGL171W	ROK1	1.05	0.20	0.97	0.23	0.7681	0.7101	0.1205	0.6286	0.1083
YGL172W	NUP49	0.84	0.11	0.98	0.12	0.0239	0.0348	0.0087	0.6904	0.1176
YGL173C	XRN1	1.02	0.08	1.00	0.09	0.6208	0.6743	0.1151	0.9644	0.1561
YGL175C	SAE2	0.39	0.23	2.07-	0.0948	0.0206-
YGL180W	ATG1	2.27	0.21	1.91	0.22	0.0001	0.0000	0.0000	0.0003	0.0002
YGL181W	GTS1	1.23	0.11	1.49	0.12	0.0006	0.0079	0.0025	0.0004	0.0002
YGL185C	YGL185C	1.59	0.37	3.60	0.88	0.0005	0.0097	0.0030	0.0004	0.0002
YGL186C	TPN1	0.19	0.03	0.11	0.05	0.0000	0.0000	0.0000	0.0002	0.0002
YGL187C	COX4	3.07	0.54	10.03	0.91	0.0000	0.0001	0.0001	0.0000	0.0000
YGL189C	RPS26A	0.66	0.23	0.60	0.06	0.0004	0.0351	0.0088	0.0002	0.0002
YGL190C	CDC55	0.79	0.20	1.05	0.11	0.1101	0.0791	0.0176	0.4250	0.0770
YGL191W	COX13	2.07	0.19	3.78	0.57	0.0001	0.0001	0.0001	0.0000	0.0000
YGL194C	HOS2	0.87	0.23	1.26	0.25	0.0531	0.2008	0.0398	0.0772	0.0172
YGL195W	GCN1	0.92	0.04	0.81	0.04	0.0012	0.0097	0.0030	0.0009	0.0004
YGL196W	DSD1	1.20	0.10	1.77	0.16	0.0000	0.0070	0.0023	0.0001	0.0001
YGL197W	MDS3	1.10	0.29	1.95	0.39	0.0038	0.5777	0.1007	0.0022	0.0009
YGL198W	YIP4	1.11	0.10	1.17	0.08	0.0098	0.0693	0.0157	0.0084	0.0026
YGL200C	EMP24	1.04	0.10	0.98	0.10	0.3999	0.4430	0.0798	0.6727	0.1149
YGL201C	MCM6	0.62	0.06	0.54	0.08	0.0005	0.0003	0.0002	0.0005	0.0003
YGL202W	ARO8	1.19	0.12	1.10	0.09	0.0322	0.0190	0.0052	0.0573	0.0133
YGL203C	KEX1	0.87	0.10	0.70	0.07	0.0017	0.0418	0.0101	0.0010	0.0005
YGL204C	YGL204C	0.66	0.11	0.48	0.07	0.0000	0.0051	0.0017	0.0002	0.0002
YGL205W	POX1	1.01	0.28	9.81	1.84	0.0000	0.8650	0.1424	0.0000	0.0000
YGL206C	CHC1	1.34	0.14	1.27	0.08	0.0013	0.0026	0.0010	0.0011	0.0005
YGL207W	SPT16	1.04	0.08	0.93	0.07	0.1150	0.3310	0.0619	0.0766	0.0171
YGL208W	SIP2	1.79	0.34	4.78	0.93	0.0000	0.0032	0.0012	0.0000	0.0001
YGL210W	YPT32	1.10	0.15	1.43	0.26	0.0238	0.2049	0.0406	0.0139	0.0040
YGL211W	NCS6	0.09	0.05	0.04	0.03	0.0005	0.0004	0.0002	0.0011	0.0005
YGL212W	VAM7	1.09	0.23	1.64	0.44	0.0134	0.5557	0.0973	0.0119	0.0035
YGL213C	SKI8	0.80	0.09	0.86	0.10	0.0071	0.0101	0.0031	0.0408	0.0099
YGL216W	KIP3	0.62	0.15	0.78	0.18	0.0155	0.0095	0.0029	0.0827	0.0183
YGL220W	FRA2	0.80	0.05	0.71	0.09	0.0028	0.0018	0.0008	0.0038	0.0014
YGL221C	NIF3	0.76	0.06	0.77	0.03	0.0002	0.0010	0.0005	0.0001	0.0001
YGL222C	EDC1	1.31	0.17	1.31	0.30	0.0052	0.0100	0.0031	0.0811	0.0180
YGL223C	COG1	0.77	0.16	0.80	0.24	0.0654	0.0380	0.0094	0.0923	0.0201
YGL224C	SDT1	0.58	0.08	0.14	0.01	0.0000	0.0009	0.0005	0.0000	0.0000
YGL225W	VRG4	0.99	0.07	0.76	0.08	0.0017	0.7057	0.1199	0.0042	0.0015
YGL226C-A	OST5	0.93	0.19	0.87	0.14	0.1144	0.3986	0.0728	0.1381	0.0287
YGL227W	VID30	1.95	0.20	3.01	0.47	0.0002	0.0001	0.0001	0.0001	0.0001
YGL228W	SHE10	1.09	0.07	1.33	0.11	0.0028	0.0339	0.0085	0.0017	0.0007
YGL229C	SAP4	1.73	0.32	1.94	0.20	0.0002	0.0030	0.0011	0.0001	0.0001
YGL231C	EMC4	0.77	0.11	0.72	0.09	0.0017	0.0163	0.0046	0.0045	0.0016
YGL232W	TAN1	0.72	0.03	0.68	0.03	0.0000	0.0001	0.0001	0.0000	0.0001
YGL233W	SEC15	1.00	0.03	1.00	0.07	0.9822	0.9692	0.1567	0.8765	0.1441
YGL234W	ADE5,7	1.68	0.11	1.45	0.11	0.0001	0.0001	0.0001	0.0004	0.0003
YGL236C	MTO1	0.95	0.17	1.30	0.10	0.0022	0.4537	0.0815	0.0018	0.0007
YGL237C	HAP2	0.79	0.06	1.14	0.17	0.0034	0.0020	0.0008	0.1685	0.0341
YGL238W	CSE1	0.81	0.02	0.70	0.04	0.0001	0.0001	0.0001	0.0001	0.0001
YGL241W	KAP114	0.85	0.11	1.02	0.19	0.0222	0.0505	0.0119	0.9453	0.1535
YGL242C	YGL242C	1.31	0.09	1.35	0.04	0.0000	0.0008	0.0004	0.0000	0.0000
YGL244W	RTF1	0.83	0.07	1.08	0.21	0.0094	0.0057	0.0019	0.4650	0.0832
YGL245W	GUS1	0.92	0.13	0.85	0.06	0.0102	0.1949	0.0388	0.0060	0.0020
YGL246C	RAI1	0.73	0.07	0.62	0.07	0.0010	0.0020	0.0008	0.0006	0.0003
YGL248W	PDE1	0.96	0.35	1.48	0.51	0.0132	0.6094	0.1054	0.1320	0.0275
YGL252C	RTG2	1.05	0.09	1.26	0.12	0.0087	0.3063	0.0578	0.0074	0.0024
YGL253W	HXK2	1.25	0.09	1.12	0.06	0.0053	0.0032	0.0012	0.0115	0.0034
YGL254W	FZF1	0.88	0.20	1.21	0.39	0.0011	0.2153	0.0423	0.3575	0.0661
YGL256W	ADH4	1.20	0.60	1.07	0.48	0.9501	0.8385	0.1388	0.9931	0.1600
YGR001C	YGR001C	0.75	0.04	0.75	0.08	0.0003	0.0003	0.0002	0.0032	0.0012
YGR002C	SWC4	0.80	0.17	1.12	0.32	0.0256	0.0598	0.0138	0.5949	0.1032
YGR003W	CUL3	0.42	0.27	0.33	0.08	0.0003	0.0190	0.0052	0.0003	0.0002
YGR004W	PEX31	0.68	0.15	0.62	0.14	0.0102	0.0145	0.0041	0.0075	0.0024
YGR005C	TFG2	0.86	0.04	0.88	0.04	0.0026	0.0023	0.0009	0.0024	0.0010
YGR007W	ECT1	1.02	0.32	0.82	0.09	0.0170	0.9176	0.1497	0.0110	0.0033
YGR008C	STF2	11.85	1.30	13.46	0.74	0.0000	0.0000	0.0000	0.0000	0.0000
YGR009C	SEC9	0.97	0.09	1.21	0.09	0.0056	0.4104	0.0747	0.0041	0.0015
YGR010W	NMA2	1.88	1.42	3.12	1.29	0.0033	0.2077	0.0410	0.0028	0.0011
YGR012W	YGR012W	0.95	0.04	1.10	0.09	0.0044	0.0620	0.0142	0.0615	0.0141
