Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YOR270C	VPH1	1.05	0.07	0.99	0.07	0.2004	0.1612	0.0328	0.6321	0.1088
YOR271C	FSF1	0.64	0.08	0.65	0.05	0.0002	0.0013	0.0006	0.0003	0.0002
YOR272W	YTM1	0.44	0.02	0.39	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YOR273C	TPO4	14.31	3.66	6.71	2.09	0.0000	0.0000	0.0000	0.0002	0.0002
YOR274W	MOD5	0.47	0.31	1.00	0.25	0.0241	0.0336	0.0084	0.8518	0.1406
YOR275C	RIM20	1.69	0.12	1.89	0.15	0.0000	0.0001	0.0001	0.0001	0.0001
YOR276W	CAF20	0.71	0.06	0.66	0.05	0.0003	0.0012	0.0006	0.0003	0.0002
YOR280C	FSH3	1.21	0.05	1.32	0.20	0.0009	0.0006	0.0003	0.0146	0.0042
YOR281C	PLP2	0.84	0.08	0.80	0.09	0.0228	0.0193	0.0053	0.0135	0.0039
YOR283W	YOR283W	0.65	0.05	0.40	0.04	0.0001	0.0002	0.0002	0.0000	0.0001
YOR284W	HUA2	0.61	0.29	0.69	0.21	0.0316	0.0562	0.0131	0.0345	0.0086
YOR285W	RDL1	2.15	0.31	3.49	0.40	0.0000	0.0003	0.0002	0.0000	0.0000
YOR286W	RDL2	1.35	0.26	1.83	0.20	0.0000	0.0272	0.0070	0.0003	0.0002
YOR287C	RRP36	0.39	0.07	0.52	0.10	0.0005	0.0003	0.0002	0.0014	0.0006
YOR288C	MPD1	1.61	0.41	1.95	0.24	0.0000	0.0105	0.0032	0.0002	0.0002
YOR289W	YOR289W	2.76	0.39	6.51	1.29	0.0001	0.0001	0.0001	0.0000	0.0000
YOR290C	SNF2	0.89	0.23	0.73	0.16	0.0348	0.2580	0.0497	0.0202	0.0055
YOR291W	YPK9	0.93	0.12	0.81	0.03	0.0000	0.2462	0.0477	0.0003	0.0002
YOR293W	RPS10A	0.71	0.07	0.60	0.03	0.0000	0.0019	0.0008	0.0000	0.0000
YOR294W	RRS1	0.70	0.03	0.62	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YOR298C-A	MBF1	0.77	0.14	0.72	0.08	0.0024	0.0250	0.0065	0.0019	0.0008
YOR299W	BUD7	0.58	0.10	0.95	0.16	0.0037	0.0022	0.0009	0.4180	0.0759
