!Series_title	"Differential yeast gene transcription during brewery propagation"
!Series_geo_accession	"GSE16376"
!Series_sample_id	"GSM410831 GSM410832 GSM410833 GSM410834 GSM410835 GSM410836 GSM410837 GSM410838 GSM410839 GSM410840 GSM410841 GSM410842"
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"27292"
!Sample_title	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_geo_accession	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
"1769402_at"	1.47404	3.69246	7.22604	1.81515	1.11013	1.57047	4.17288	1.22117	0.839404	1.20858	0.922172	5.71711
"1769403_at"	543.627	577.116	1172.07	600.031	616.633	632.844	52.9179	50.1336	33.414	45.8691	79.9338	97.9127
"1769404_at"	2.35481	0.844693	15.3315	0.315704	0.918614	0.338722	0.793365	0.546966	1.22239	0.477061	1.1794	9.68181
"1769405_at"	5.04214	3.04675	26.8689	3.11507	3.00654	3.9167	6.59271	7.70167	5.4124	2.36592	1.1549	3.09726
"1769406_at"	123.497	294.717	576.707	38.5925	38.8317	41.9563	64.5133	83.0665	61.1985	73.683	93.0775	116.567
"1769407_at"	340.174	178.39	358.406	66.3577	80.5354	80.1431	79.9029	129.302	93.1132	134.782	146.877	201.452
"1769408_at"	25.2307	21.5539	26.6685	3.02243	0.926125	2.34046	7.223	11.8348	11.5617	9.07213	9.99403	13.1926
"1769409_at"	0.701804	1.03574	5.65946	2.03412	2.50568	2.60383	0.670486	0.347832	4.02938	6.58302	5.7185	5.90695
"1769410_at"	0.455118	0.796101	0.407777	0.232205	0.466718	1.83731	3.50629	9.45344	0.228323	5.99294	0.472858	1.64822
"1769411_at"	1822.15	1769.52	4277.01	1383.86	1555.06	1714.38	36.187	34.9344	20.1537	64.2926	54.3826	43.23
"1769412_at"	5.87693	0.482735	1.80276	0.182189	0.148685	2.79304	1.15581	3.90875	0.281785	1.85043	1.32804	1.83134
"1769413_at"	3.33254	8.73292	15.0455	2.03248	2.56991	0.373938	1.95036	1.00711	2.24605	0.725444	3.99574	13.4322
"1769414_at"	23.576	13.044	21.2903	0.169013	2.82401	3.1391	17.1333	15.9399	12.762	13.6822	22.8419	18.1989
"1769415_at"	6.50835	1.37046	7.19532	1.11124	2.37015	0.303382	7.25504	0.866625	2.49261	5.23442	0.928754	2.00242
"1769416_at"	21.2646	4.56531	14.2968	1.62261	3.06765	1.2276	18.378	11.5028	1.0087	1.56889	3.96621	3.14643
"1769417_at"	9.91069	4.26044	8.49227	5.66203	1.84605	4.40368	4.56174	4.0501	9.51326	7.65046	8.90234	2.75075
"1769418_at"	12.4232	115.081	248.245	32.4531	34.8698	33.4401	13.5946	8.50661	14.9941	22.1013	24.3403	13.1152
"1769419_at"	685.611	491.019	1027.21	177.129	183.42	188.008	71.8011	73.5594	48.9265	73.6763	116.503	85.2965
"1769420_at"	136.017	401.997	419.427	68.9325	75.2593	47.0408	188.572	438.472	299.38	303.984	307.623	490.003
"1769421_at"	108.79	243.696	402.714	102.147	116.918	100.47	83.3344	138.813	49.1351	101.582	159.636	70.8465
"1769422_at"	18.6643	181.954	257.398	152.477	161.624	171.17	20.8168	19.5267	11.198	15.8133	33.2746	39.5218
"1769423_at"	1.21098	0.64324	1.20076	0.106056	0.11001	0.174266	0.363831	3.57652	4.08455	0.6507	0.468202	0.954153
"1769424_at"	11.7292	19.1419	15.6448	0.95808	3.34092	2.90849	14.7665	2.07043	13.8283	6.33725	11.3453	5.26361
"1769425_at"	3.61356	1.20794	0.761016	0.350016	0.588422	0.187482	1.6128	1.64416	0.776674	0.722705	2.09712	3.6719
"1769426_at"	37.3811	72.7975	137.444	20.0524	23.9761	21.6305	18.2271	21.065	7.11392	23.0881	25.693	27.3617
